WordId,TestId,PartOfSpeech,Description,Example,Source
190,0,adjective,attentive in an ingratiating or servile manner; attempting to win favor from influential people by flattery.,"The obsequious waiter did not give the couple a moment's peace all through the meal, constantly returning to their table to refill their water glasses and to tell them what a handsome pair they made.",Magoosh
191,0,adjective,not clearly understood or expressed.,"The meaning of the professor's new research was opaque to most people, so no one asked any questions. This word has other definitions but this is the most important one for the GRE.",Magoosh
192,0,noun,wealth as evidenced by sumptuous living.,"Russian oligarchs are famous for their opulence, living in fancy homes and dining on expensive cavier.",Magoosh
193,0,adjective,intended to attract notice and impress others; tawdry or vulgar.,"Matt wanted to buy stone lions for front of the house, but Cynthia convinced him that such a display would be too ostentatious for a modest house in an unassuming neighborhood.",Magoosh
194,0,verb,exclude from a community or group.,"Later in his life, Leo Tolstoy was ostracized from the Russian Orthodox Church for his writings that contradicted church doctrine.",Magoosh
195,0,noun,distinctive and stylish elegance.,"Jim, with his typical panache, came to the wedding reception with a top hat, a cane, and a long cape covered in sequins.",Magoosh
196,0,adjective,narrowly restricted in scope or outlook.,"Jasmine was sad to admit it, but her fledgling relationship with Jacob did not work out because his culinary tastes were simply too parochial; ""After all,"" she quipped on her blog, ""he considered Chef Boyardee ethnic food."".",Magoosh
197,0,adjective,extremely frugal; miserly.,Katie is so parsimonious that she only buys a pair of socks if all of her other socks have holes in them.,Magoosh
198,0,adjective,lacking imagination.,"While Nan was always engaged in philosophical speculation, her brother was occupied with far more pedestrian concerns: how to earn a salary and run a household. This word has other definitions but this is the most important one for the GRE.",Magoosh
199,0,adjective,expressing disapproval (usu.,"refers to a term). Most psychologists object to the pejorative term ""shrink"", believing that they expand the human mind, not limit it. This word has other definitions but this is the most important one for the GRE.",Magoosh
200,0,noun,an act of deliberate betrayal; a breach of a trust.,"The lowest circles in Dante's Inferno were for those who had practiced perfidy, and among these, the very lowest was for those, such as Judas, who had been treacherous to one of their benefactors.",Magoosh
201,0,adjective,easily irritated or annoyed.,"When Ed first met Ruth, he didn't realize she was so petulant, but now that they are three months into their relationship, Ed feels a day doesn't go by in which she isn't whining about some minor issue.",Magoosh
202,0,verb,cause to be more favorably inclined; gain the good will of.,I was able to placate the angry mob of students by promising to bring cookies on Monday.,Magoosh
203,0,noun,a trite or obvious remark.,"The professor argued that many statements regarded as wise in previous times, such as the Golden Rule, are now regarded as mere platitudes.",Magoosh
204,0,adjective,emotionally touching.,"After the Montagues and Capulets discover the dead bodies of Romeo and Juliet, in the play's most poignant moment, the two griefstricken familes agree to end their feud once and for all. This word has other definitions but this is the most important one for the GRE.",Magoosh
205,0,noun,a strong verbal or written attack on someone or something.,"The professor launched into a polemic, claiming that Freudian theory was a pack of lies that absolutely destroyed European literary theory. This word has other definitions but this is the most important one for the GRE.",Magoosh
206,0,verb,assume as fact.,"Initially, Einstein posited a repulsive force to balance Gravity, but then rejected that idea as a blunder.",Magoosh
207,0,adjective,guided by practical experience and observation rather than theory.,"Rather than make a philosophical appeal to the Congressmen, the Speaker decided to take a far more pragmatic approach, making small side-deals that would add votes to his bill.",Magoosh
208,0,adjective,done with very great haste and without due deliberation.,"He was expecting a precipitous rise in the value of a ""hot"" tech stock, so he was disappointed when it only inched up a dollar or two each day.",Magoosh
209,0,verb,keep from happening or arising; make impossible.,"The manager specified that all other gates be locked, to preclude the possibility of persons without tickets entering the arena undetected.",Magoosh
210,0,adjective,characterized by or characteristic of exceptionally early development or maturity (especially in mental aptitude).,"Though only seven years old, she was a precocious chess prodigy, able to beat players twice her age.",Magoosh
211,0,noun,a strong liking.,"Monte had a predilection for the fine things in life: Cuban cigars, 200 dollar bottles of wine, and trips to the French Riviera.",Magoosh
212,0,noun,the power to foresee the future.,Baxter's warnings about investing in technology stocks seemed like an act of prescience after the whole market declined significantly.,Magoosh
213,0,verb,to speak in an evasive way.,"The cynic quipped, ""There is not much variance in politicians; they all seem to prevaricate"".",Magoosh
214,0,adjective,rashly or wastefully extravagant.,Successful professional athletes who do not fall prey to prodigality seem to be the exception--most live decadent lives.,Magoosh
215,0,adjective,so great in size or force or extent as to elicit awe.,"After the relatively small homerun totals in the ""dead ball"" era, Babe Ruth's homerun totals were truly prodigious: every year, he set a new all-time record.",Magoosh
216,0,noun,someone who spends money recklessly or wastefully.,"Most lottery winners go from being conservative, frugal types to outright profligates who blow millions on fast cars, lavish homes, and giant yachts.",Magoosh
217,0,adjective,intellectually productive.,"Schubert was the most prolific composer, producing hundreds of hours of music before he died at the age of 31.",Magoosh
